game_id,home_team,season,away_team,game_date,situation,iceTime,xGoalsPercentageHome,xGoalsPercentageAway,corsiPercentageHome,corsiPercentageAway,fenwickPercentageHome,fenwickPercentageAway,xOnGoalHome,xGoalsHome,xReboundsHome,xFreezeHome,xPlayStoppedHome,xPlayContinuedInZoneHome,xPlayContinuedOutsideZoneHome,flurryAdjustedxGoalsHome,scoreVenueAdjustedxGoalsHome,flurryScoreVenueAdjustedxGoalsHome,shotsOnGoalHome,missedShotsHome,blockedShotAttemptsHome,shotAttemptsHome,goalsHome,reboundsHome,reboundGoalsHome,freezeHome,playStoppedHome,playContinuedInZoneHome,playContinuedOutsideZoneHome,savedShotsOnGoalHome,savedUnblockedShotAttemptsHome,penaltiesHome,penalityMinutesHome,faceOffsWonHome,hitsHome,takeawaysHome,giveawaysHome,lowDangerShotsHome,mediumDangerShotsHome,highDangerShotsHome,lowDangerxGoalsHome,mediumDangerxGoalsHome,highDangerxGoalsHome,lowDangerGoalsHome,mediumDangerGoalsHome,highDangerGoalsHome,scoreAdjustedShotsAttemptsHome,unblockedShotAttemptsHome,scoreAdjustedUnblockedShotAttemptsHome,dZoneGiveawaysHome,xGoalsFromxReboundsOfShotsHome,xGoalsFromActualReboundsOfShotsHome,reboundxGoalsHome,totalShotCreditHome,scoreAdjustedTotalShotCreditHome,scoreFlurryAdjustedTotalShotCreditHome,xOnGoalAway,xGoalsAway,xReboundsAway,xFreezeAway,xPlayStoppedAway,xPlayContinuedInZoneAway,xPlayContinuedOutsideZoneAway,flurryAdjustedxGoalsAway,scoreVenueAdjustedxGoalsAway,flurryScoreVenueAdjustedxGoalsAway,shotsOnGoalAway,missedShotsAway,blockedShotAttemptsAway,shotAttemptsAway,goalsAway,reboundsAway,reboundGoalsAway,freezeAway,playStoppedAway,playContinuedInZoneAway,playContinuedOutsideZoneAway,savedShotsOnGoalAway,savedUnblockedShotAttemptsAway,penaltiesAway,penalityMinutesAway,faceOffsWonAway,hitsAway,takeawaysAway,giveawaysAway,lowDangerShotsAway,mediumDangerShotsAway,highDangerShotsAway,lowDangerxGoalsAway,mediumDangerxGoalsAway,highDangerxGoalsAway,lowDangerGoalsAway,mediumDangerGoalsAway,highDangerGoalsAway,scoreAdjustedShotsAttemptsAway,unblockedShotAttemptsAway,scoreAdjustedUnblockedShotAttemptsAway,dZoneGiveawaysAway,xGoalsFromxReboundsOfShotsAway,xGoalsFromActualReboundsOfShotsAway,reboundxGoalsAway,totalShotCreditAway,scoreAdjustedTotalShotCreditAway,scoreFlurryAdjustedTotalShotCreditAway
2021-11-05LAKNJD,LAK,2021,NJD,11/3/21,5on5,2602,0.4166,0.5834,0.5063,0.4937,0.5179,0.4821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18LAKTBL,LAK,2021,TBL,1/18/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-10LAKSJS,LAK,2021,SJS,3/10/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17LAKSJS,LAK,2021,SJS,3/17/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25LAKTBL,LAK,2022,TBL,10/25/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-17LAKSJS,LAK,2022,SJS,12/17/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11LAKSJS,LAK,2022,SJS,1/11/23,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-14LAKNJD,LAK,2022,NJD,1/14/23,5on5,2841,0.6259,0.3741,0.5778,0.4222,0.6176,0.3824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-30NJDSJS,NJD,2021,SJS,11/30/21,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23NJDLAK,NJD,2021,LAK,1/23/22,5on5,3075,0.4864,0.5136,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-15NJDTBL,NJD,2021,TBL,2/15/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-22NJDSJS,NJD,2022,SJS,10/22/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-23NJDLAK,NJD,2022,LAK,2/23/23,5on5,2965,0.6151,0.3849,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-14NJDTBL,NJD,2022,TBL,3/14/23,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-16NJDTBL,NJD,2022,TBL,3/16/23,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-06SJSNJD,SJS,2021,NJD,11/6/21,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-17SJSLAK,SJS,2021,LAK,1/17/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-22SJSTBL,SJS,2021,TBL,1/22/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12SJSLAK,SJS,2021,LAK,3/12/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29SJSTBL,SJS,2022,TBL,10/29/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-25SJSLAK,SJS,2022,LAK,11/25/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-16SJSNJD,SJS,2022,NJD,1/16/23,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-20TBLNJD,TBL,2021,NJD,11/20/21,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-14TBLLAK,TBL,2021,LAK,12/14/21,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27TBLNJD,TBL,2021,NJD,1/27/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01TBLSJS,TBL,2021,SJS,2/1/22,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-28TBLLAK,TBL,2022,LAK,1/28/23,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07TBLSJS,TBL,2022,SJS,2/7/23,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-19TBLNJD,TBL,2022,NJD,3/19/23,5on5,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,